Rank,Brand,Bucket,Priority,Score,Source tags,Suggested incumbents to conquest,Suggested buyer titles,Outreach hook
18,Goodles,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Goodles as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
19,Graza,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Graza as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
20,Hero Bread,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Hero Bread as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
21,Hiyo,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Hiyo as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
22,Humm Kombucha,Beverage,A,6,Instacart Emerging 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Humm Kombucha with a rebate — pay only on receipt-verified purchase."
23,IQBAR,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present IQBAR as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
24,Ice Cream for Bears,Dairy / Frozen Treats,A,6,Instacart Emerging 2025,Danone; General Mills; Nestlé; Unilever; Chobani,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Intercept shoppers at list-build time and offer Ice Cream for Bears as a swap vs an incumbent — pay only on receipt-verified purchase.
25,Joyburst,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Joyburst as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
26,Juni,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Juni as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
27,Love Corn,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Love Corn as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
28,Magic Spoon,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Magic Spoon as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
29,MaryRuth's,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present MaryRuth's as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
30,Mid-Day Squares,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Mid-Day Squares as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
31,Nulo,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Nulo as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
32,Nurri,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Nurri as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
33,Oats Overnight,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Oats Overnight as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
34,Power Up,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Power Up as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
35,Pretzelized,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Pretzelized as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
36,Purely Elizabeth,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Purely Elizabeth as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
37,Rebel,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Rebel as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
38,Recess,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Recess as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
39,Righteous Felon,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Righteous Felon as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
40,Roots Farm Fresh,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Roots Farm Fresh as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
41,Sanzo,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Sanzo as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
42,Scott & Jon's,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Scott & Jon's as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
43,SkinnyDipped,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present SkinnyDipped as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
44,Solely,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Solely as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
45,Somos,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Somos as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
46,The Good Crisp Company,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present The Good Crisp Company as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
47,wildwonder,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present wildwonder as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
48,BARIS,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present BARIS as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
49,BUBLUV,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present BUBLUV as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
50,Day Out Snacks,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Day Out Snacks as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
51,Eat Happy Kitchen,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Eat Happy Kitchen as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
52,GEEM,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present GEEM as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
53,Growee Foods,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Growee Foods as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
54,Holy! Water,Beverage,A,5,Startup CPG Expo West 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Holy! Water with a rebate — pay only on receipt-verified purchase."
55,Hotpot Queen,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Hotpot Queen as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
56,House of Kajaana,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present House of Kajaana as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
57,Häppy Candy,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Häppy Candy as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
58,KOKONUT,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present KOKONUT as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
59,Leisure Hydration,Beverage,A,5,Startup CPG Expo West 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Leisure Hydration with a rebate — pay only on receipt-verified purchase."
60,Masala Gossip,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Masala Gossip as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
61,Modica,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Modica as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
62,My Better Batch,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present My Better Batch as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
63,NOON,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present NOON as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
64,PLINK!,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present PLINK! as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
65,Pricklee,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Pricklee as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
66,RINGA,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present RINGA as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
67,S’NOODS,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present S’NOODS as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
68,The Chai Box,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present The Chai Box as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
69,The Greater Knead,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present The Greater Knead as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
70,TruJoy Yogurt,Dairy / Frozen Treats,A,5,Startup CPG Expo West 2025,Danone; General Mills; Nestlé; Unilever; Chobani,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Intercept shoppers at list-build time and offer TruJoy Yogurt as a swap vs an incumbent — pay only on receipt-verified purchase.
71,Twisted Alchemy,Beverage,A,5,Startup CPG Expo West 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Twisted Alchemy with a rebate — pay only on receipt-verified purchase."
72,WHIMS Delights,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present WHIMS Delights as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
73,88 Acres,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present 88 Acres as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
74,A Dozen Cousins,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present A Dozen Cousins as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
75,A-Sha,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present A-Sha as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
76,AG1,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present AG1 as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
77,AHA,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present AHA as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
78,Abe's Muffins,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Abe's Muffins as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
79,Abe's Vegan Muffins,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Abe's Vegan Muffins as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
80,Acai Roots,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Acai Roots as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
81,Acid League,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Acid League as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
82,Actual Veggies,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Actual Veggies as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
83,Alani Nu,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Alani Nu as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
84,Alden's Organic,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Alden's Organic as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
85,Alec's Ice Cream,Dairy / Frozen Treats,A,4,,Danone; General Mills; Nestlé; Unilever; Chobani,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Intercept shoppers at list-build time and offer Alec's Ice Cream as a swap vs an incumbent — pay only on receipt-verified purchase.
86,Alexandre Family Farm,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Alexandre Family Farm as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
87,Alexia,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Alexia as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
88,Aloha,Snack / Grocery,A,4,,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Aloha as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
